IncidentID,Date,State,Cityorcounty,BusinessorLocation,Address,Latitude,Longitude,Name,Type,Gender,Age,Agegoup,Status,Incidentcharacteristics,Sources,notactiveswornlocalstate,rank,agencytype,offduty,training,blueonblue,Error,ErrorDetail,ToRemove,type_new,Notes,Duplicate,duplicate_of,record_added,incident_id_changed,original_id,Businessorschool,Participantname,Agegroup,duplicate_to_delete,to_be_edited,_merge
1595552,1/13/20,Indiana,Gary,Westbrook Apartments,2301 Waverly Dr,41.597,-87.3702,Cpl. John Artibey,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed,ATF/LE Confiscation/Raid/Arrest","https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-gary-police-shooting-st-0114-20200114-yl6kxr5w25etzezgorjetow3we-story.html#nt=oft-Double%20Chain~Recommender~top-news-curated-chain~more-top-news-rec~~5~no-art~automated~curatedpage,https://www.nwitimes.com/news/local/crime-and-courts/update-woman-found-strangled-to-death-was-loving-mother-grandmother/article_6a2c0a0c-da9b-53f5-9ac9-9374cee345d6.html#tracking-source=home-top-story",0,Corporal,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Corporal was non-fatally struck by shrapnel in the abdomen and chin by suspect while serving an arrest warrant. A second officer was also non-fatally shot. The suspect was fatally shot. More info: https://chicago.cbslocal.com/2020/01/13/gary-police-shot/,0,NA,0,0,,,,,,,1
1596118,1/12/20,Missouri,Carthage,,2446 Grand Ave,37.1464,-94.3099,Trooper Sam Carpenter,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed,Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )","https://www.fourstateshomepage.com/news/joplin-news-first/man-dead-in-carthage-after-exchange-of-gunfire-with-officers/ ,https://www.ky3.com/content/news/Man-dies-in-shooting-after-police-chase-in-Carthage-Mo-566948061.html ",0,Trooper,State,0,0,0,0,NA,0,Suspect-inflicted,State Trooper was non-fatally shto by suspect in the midst of a car chase. The suspect was fatally shot.,0,NA,0,0,,,,,,,1
1597629,1/15/20,Texas,Forest Hill,,6500 block of Forest Hill Dr,32.6631,-97.2703,Officer Naqirra Williams,victim,female,24,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Police Targeted,Car-jacking","https://www.dallasnews.com/news/2020/01/15/forest-hill-officer-hurt-suspect-dead-after-stealing-squad-car-police-say/ ,https://www.star-telegram.com/news/local/crime/article239364648.html ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the forearm by suspect while he stole her patrol car.,0,NA,0,0,,,,,,,1
1600241,1/19/20,Hawaii,Honolulu,,3015 Hibiscus Dr,21.2598,-157.817,Officer Kaulike Kalama,victim,male,,Adult 18+,Killed,"Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer killed","https://www.hawaiinewsnow.com/2020/01/19/multiple-honolulu-police-officers-injured-shooting-near-diamond-head/,https://www.civilbeat.org/2020/01/still-more-questions-than-answers-surround-honolulu-police-officers-deaths/,https://apnews.com/article/5d059195deeb67f544c66491f248c2e8",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was fatally shot by suspect while resporting to a stabbing. A second officer was also fatally shot by suspect. A civilian and the suspect were both found dead.,0,NA,0,0,,,,,,,1
1600241,1/19/20,Hawaii,Honolulu,,3015 Hibiscus Dr,21.2598,-157.817,Officer Tiffany-Victoria Enriquez,victim,female,,Adult 18+,Killed,"Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer killed","https://www.hawaiinewsnow.com/2020/01/19/multiple-honolulu-police-officers-injured-shooting-near-diamond-head/ ,https://www.civilbeat.org/2020/01/still-more-questions-than-answers-surround-honolulu-police-officers-deaths /,https://apnews.com/article/5d059195deeb67f544c66491f248c2e8 ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was fatally shot by suspect while resporting to a stabbing. A second officer was also fatally shot by suspect. A civilian and the suspect were both found dead.,0,NA,0,0,,,,,,,1
1601747,1/20/20,Arkansas,Caraway,,2000 block of Co Rd 847,35.7673,-90.338,Deputy Logan Dotson,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff","https://www.fox16.com/news/heavy-police-presence-in-craighead-county/ ,https://katv.com/news/local/deputy-injured-after-exchanging-gunfire-with-suspect-in-northeast-arkansas ,https://5newsonline.com/2020/01/22/deputy-injured-after-standoff-in-northeast-arkansas/ ",0,Deputy,Sheriff,0,0,0,0,NA,0,Suspect-inflicted,Sheriff's Deputy was non-fatally struck by shotgun pellets to his head.,0,NA,0,0,,,,,,,1
1601959,1/19/20,New Jersey,Matawan,,208 Broad St,40.4148,-74.2296,Officer Edward Nortrup,victim,male,39,Adult 18+,Killed,"Shot - Dead (murder, accidental, suicide),Suicide^,Officer Involved Incident,Officer Involved Shooting - Officer killed","https://www.tapinto.net/towns/westfield/sections/union-county-news/articles/roselle-park-police-officer-involved-in-crash-shoots-himself-in-head-sunday ,https://www.app.com/story/news/local/emergencies/2020/01/20/roselle-park-edward-nortrup-matawan/4523229002/ ",0,Officer,Local,1,0,1,0,NA,1,Self-inflicted,Off-duty Local Officer suffered a fatal self-inflicted gunshot wound after crashing his car.,0,NA,0,0,,,,,,,1
1605323,1/25/20,Mississippi,Coldwater,Dollar General,10155 US-51,34.6982,-89.9812,Officer,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator shot","https://www.wlbt.com/2020/01/25/officer-involved-shooting-under-investigation-coldwater-miss/ ,https://wreg.com/2020/01/25/officer-shot-in-north-mississippi/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the head by suspect during a traffic stop. The suspect was non-fatally shot.,0,NA,0,0,,,,,,,1
1605850,1/26/20,Alabama,Birmingham,,5400 block of Georgia Rd,33.541,-86.7544,Detective John Finke,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Possession of gun by felon or prohibited person,Stolen/Illegally owned gun{s} recovered during arrest/warrant","https://www.wvtm13.com/article/birmingham-police-officer-injured-in-shooting/30666462 ,https://www.al.com/news/2020/01/birmingham-police-officer-shot-in-woodlawn.html ,https://www.tuscaloosanews.com/news/20200126/birmingham-police-officer-injured-in-shooting ",0,Detective,Local,1,0,0,0,NA,1,Suspect-inflicted,Off-duty Local Detective was non-fatally shot twice in the abdomen and once in the chest by suspect while responding to a robbery. ,0,NA,0,0,,,,,,,1
1608638,1/29/20,Illinois,Chicago,,4000 block of W Madison St,41.8811,-87.7259,Officer,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,ATF/LE Confiscation/Raid/Arrest,Possession of gun by felon or prohibited person","https://chicago.suntimes.com/crime/2020/1/29/21114072/west-garfield-park-shooting-chicago-police-officer-hospital-wilcox-karlov ,http://wgntv.com/2020/01/29/chicago-police-officer-wounded-in-shooting/ ,https://chicago.suntimes.com/crime/2020/1/31/21116512/walter-johnson-charged-shooting-cpd-officer-witnessed-west-side-murder-devel-hill-madison-wilcox ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the hand while pursuing a murder suspect. The suspect also fatally shot a civilian. ,0,NA,0,0,,,,,,,1
1611642,1/31/20,California,Morgan Hill,,Uvas Rd,37.1001,-121.722,Officer Sukhdeep Gill,victim,,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Police Targeted,Drive-by (car to street, car to car)","https://www.nbcbayarea.com/news/local/south-bay/santa-clara-county-deputy-injured-in-morgan-hill-shooting/2224993/ ,https://www.nbcbayarea.com/news/local/south-bay/santa-clara-county-deputy-injured-in-morgan-hill-shooting/2224993/ ",NA,NA,NA,NA,NA,NA,1,The deputy faked the report. There was no shooting suspect.,1,NA,More info: https://abc7news.com/santa-clara-county-shooting-deputy-arrested-fake-story/10145498/,NA,NA,NA,NA,,,,,,,1
1613869,2/4/20,Wisconsin,Milwaukee,,4900 block of N Teutonia Ave,43.1063,-87.9475,Officer Robert Parks,victim,male,32,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Suicide^,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff","https://twitter.com/MilwaukeePolice/status/1224751245652635648 ,https://www.wisn.com/article/milwaukee-police-officer-shot-suspect-dead/30761675 ,https://fox6now.com/2020/02/04/lost-for-words-family-of-man-police-said-shot-wounded-mpd-officer-disputes-his-suicide/ ,https://fox6now.com/2020/02/07/milwaukee-police-identify-officer-shot-wounded-near-27th-and-fairmount/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the leg by suspect while pursuing a reckless driver. The suspect was found with a fatal self-inflicted gunshot wound.,0,NA,0,0,,,,,,,1
1614513,2/4/20,Alabama,Kimberly,,I-65,33.7642,-86.8307,Officer Nick O'Rear,victim,male,33,Adult 18+,Killed,"Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer killed,Drive-by (car to street, car to car)","https://www.al.com/news/2020/02/kimberly-police-officer-shot-during-chase-on-i-65.html ,https://www.cullmantimes.com/news/shooting-death-of-kimberly-officer-leads-to-arrest-of-suspect/article_adcb55b0-4829-11ea-a9fe-cbdfa082e7b0.html ,https://www.odmp.org/officer/24395-police-officer-nick-orear ,https://whnt.com/news/alabama-man-indicted-in-fatal-shooting-of-kimberly-police-officer-nick-orear/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was fatally shot by suspect while in pursuit. ,0,NA,0,0,,,,,,,1
1614756,2/5/20,Florida,Palm City,,I 95,27.1257,-80.2814,Trooper Joseph Bullock,victim,male,42,Adult 18+,Killed,"Shot - Dead (murder, accidental, suicide),Suicide^,Murder/Suicide,Officer Involved Incident,Officer Involved Shooting - Officer killed,Officer Involved Shooting - subject/suspect/perpetrator killed,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff","https://www.nbcmiami.com/news/local/officer-involved-shooting-shuts-down-stretch-of-i-95-in-martin-county/2186831/ ,https://www.sun-sentinel.com/news/transportation/fl-ne-interstate-95-martin-county-20200205-wmve7h3whbef5cprexlc3f4ge4-story.html ,https://abcnews.go.com/US/wireStory/florida-trooper-dies-shooting-highway-rest-stop-68782256 ,https://www.wesh.com/article/palm-bay-man-accused-fatal-shooting-fhp-trooper/30798507 ,https://www.local10.com/news/local/2020/02/21/authorities-to-provide-update-on-investigation-into-fatal-shooting-of-trooper-on-i-95/ ",0,Trooper,State,0,0,0,0,NA,0,Suspect-inflicted,State Trooper was fatally shot by suspect while trying to assist a disabled vehicle. The suspect was fatally shot in the chest.,0,NA,0,0,,,,,,,1
1615501,2/5/20,Maryland,Baltimore,,Fort Armistead Rd and Fort Smallwood Rd,39.2,-76.556,Detective Scott Ballard,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,ATF/LE Confiscation/Raid/Arrest","https://wjla.com/news/local/officer-involved-shooting-anne-arundel-county ,https://baltimore.cbslocal.com/2020/02/06/scott-ballard-ian-preece-anne-arundel-county-police-shot-latest/ ,https://www.baltimoresun.com/maryland/anne-arundel/bs-md-ar-officer-involved-shooting-20200206-2zzk6r2byvfrjorcnfndjimmua-story.html ,https://www.thebaynet.com/articles/0220/suspect-wanted-for-murder-and-shooting-2-officers-captured-after-15-hour-manhunt-warrants-yield-drugs-.html ",0,Detective,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Detective was non-fatally shot in the upper body while investigating a murder suspect. A second officer was also non-fatally shot. ,0,NA,0,0,,,,,,,1
1615501,2/5/20,Maryland,Baltimore,,Fort Armistead Rd and Fort Smallwood Rd,39.2,-76.556,Detective Ian Preece,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,ATF/LE Confiscation/Raid/Arrest","https://wjla.com/news/local/officer-involved-shooting-anne-arundel-county,https://baltimore.cbslocal.com/2020/02/06/scott-ballard-ian-preece-anne-arundel-county-police-shot-latest/,https://www.baltimoresun.com/maryland/anne-arundel/bs-md-ar-officer-involved-shooting-20200206-2zzk6r2byvfrjorcnfndjimmua-story.html,https://www.thebaynet.com/articles/0220/suspect-wanted-for-murder-and-shooting-2-officers-captured-after-15-hour-manhunt-warrants-yield-drugs-.html",0,Detective,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Detective was non-fatally shot multiple times in the upper body while investigating a murder suspect. A second officer was also non-fatally shot.,0,NA,0,0,,,,,,,1
1615733,2/6/20,Texas,Midland,,3000 block of W Illinois St,31.9935,-102.11,,victim,,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot","https://www.yourbasin.com/local-news-2/mpd-officer-shot-in-the-line-of-duty/ ,https://www.newswest9.com/article/news/crime/midland-pd-officer-shot-during-disturbance-call/513-79eb7d4d-f18c-464e-b097-034d7552c411 ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the leg by suspect while responding to a disturbance call.,0,NA,0,0,,,,,,,1
1617128,2/8/20,Missouri,Cuba,,Carol St,38.0659,-91.3933,Officer,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed,Domestic Violence","https://www.kmov.com/news/police-officer-shot-in-cuba-mo/article_1bf7c5ea-4ac4-11ea-9a53-df3cfd656c53.html?fbclid=IwAR1AS9AaCm67D3giSvJuXnX0eurxMnhf-hzKL0mVCccg2YMeM4WQ6E0cr0o ,https://krcgtv.com/news/local/one-dead-officer-injured-in-cuba-officer-involved-shooting,https://www.threeriverspublishing.com/TRP3/index.php?option=com_content&view=article&id=36904:cuba-police-officer-shot-on-saturday&catid=27:cuba-news&Itemid=200119 ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the leg by suspect while responding a domestic disturbance call. The suspect was fatally shot.,0,NA,0,0,,,,,,,1
1617131,2/8/20,New York,Bronx,,906 Simpson St,40.8201,-73.8935,Ofc Paul Stroffolino,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Police Targeted,Possession of gun by felon or prohibited person","https://twitter.com/nyc_alerts911/status/1226319835979800576?s=21,https://www.nydailynews.com/new-york/nyc-crime/ny-bronx-police-officer-shot-20200209-6nn2hmy5vjdlrnviu6nbvfhzi4-story.html ,https://twitter.com/nypdshea/status/1226566466549485574?s=21,https://abc7ny.com/5915007/",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the neck by suspect after being ambushed. ,0,NA,0,0,,,,,,,1
1617296,2/9/20,New York,Bronx,NYPD 41st Precinct,1035 Longwood Ave,40.8163,-73.8958,Lt Jose Gautreaux,victim,male,,,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Police Targeted","https://twitter.com/loudlabsnyc/status/1226493894784741377?s=21 ,https://twitter.com/nyc_alerts911/status/1226493623228825602?s=21,https://abc7ny.com/5915007/ ",0,Lieutenant,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Lieutenant was non-fatally shot in the arm by suspect after being ambushed at the police station.,0,NA,0,0,,,,,,,1
1617569,2/9/20,Georgia,Byron,,207 Danube Way,32.6474,-83.7211,Deputy,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed","https://www.13wmaz.com/article/news/local/houston-county-deputy-man-injured-in-shooting/93-8e947104-4254-46f2-a91d-096fa83b0c20 ,https://wgxa.tv/news/local/houston-county-man-dies-of-injuries-after-previous-shootout-with-deputies ",0,Deputy,Sheriff,0,0,0,0,NA,0,Suspect-inflicted,Sheriff's deputy was non-fatally shot in the hand by suspect while responding to a domestic disturbance. The suspect was fatally shot. ,0,NA,0,0,,,,,,,1
1617929,2/8/20,Alabama,Vestavia Hills,,4400 block of Old Overton Rd,33.4918,-86.6982,Officer,victim,,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed",https://www.wsfa.com/2020/02/09/man-killed-officer-injured-officer-involved-shooting-vestavia-hills/ ,0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot by suspect after responding to reported suicide attempt. The suspect was fatally shot. More info: https://www.al.com/news/birmingham/2020/02/67-year-old-man-identified-as-person-who-died-during-vestavia-hills-officer-involved-shooting.html,0,NA,0,0,,,,,,,1
1618172,2/10/20,Arkansas,Forrest City,Walmart,205 Deaderick Rd,35.0281,-90.7936,Lt. Eric Varner,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed,LOCKDOWN/ALERT ONLY:  No GV Incident Occurred Onsite","https://www.wmcactionnews5.com/2020/02/10/asp-investigating-shooting-incident-walmart-forrest-city/ ,https://www.wmcactionnews5.com/2020/02/10/police-chief-suspect-arkansas-walmart-shooting-was-known-officers/,http://wreg.com/2020/02/10/two-forrest-city-officers-shot-suspect-dead-in-walmart-shooting/,https://www.kait8.com/2020/02/12/walmart-reopens-forrest-city-days-after-deadly-officer-involved-shooting/",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1621778,NA,NA,,,,,,,1
